task,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,mitypeTitle,mitypeType,mitypeNumber,vriType,result_doc_type,result_docnum,mitypeURL
"Манометры, поверенные в ЦАГИ",164078131,19288,МП4-УУ2,,ФАУ &...,ФЕДЕР...,Маном...,"МП-У,...",10135-05,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304269
"Манометры, поверенные в ЦАГИ",164078132,66414,МО (0...,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-07,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323271
"Манометры, поверенные в ЦАГИ",164078134,1551,МП4-УУ2,,ФАУ &...,ФЕДЕР...,Маном...,"МП-У,...",10135-05,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304269
"Манометры, поверенные в ЦАГИ",164078135,154680,МТИ (...,,ФАУ &...,ФЕДЕР...,Маном...,"МТИ, ВТИ",1844-63,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/319378
"Манометры, поверенные в ЦАГИ",170334757,0497,МТИ (...,,ФАУ &...,ФЕДЕР...,Маном...,"МТИ, ВТИ",1844-63,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/319378
"Манометры, поверенные в ЦАГИ",170334758,6/ОГМ,ТМВ 6...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-08,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331774
"Манометры, поверенные в ЦАГИ",170334780,3017507,МТ-160,,ФАУ &...,ФЕДЕР...,Маном...,МТ (м...,23991-02,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/328819
"Манометры, поверенные в ЦАГИ",170334781,995645,МТ-160,,ФАУ &...,ФЕДЕР...,Маном...,МТ (м...,23991-02,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/328819
"Манометры, поверенные в ЦАГИ",170334782,2465012,МТ-160,,ФАУ &...,ФЕДЕР...,Маном...,МТ (м...,23991-02,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/328819
"Манометры, поверенные в ЦАГИ",170334783,1012825,МТ-160,,ФАУ &...,ФЕДЕР...,Маном...,МТ (м...,23991-02,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/328819
"Манометры, поверенные в ЦАГИ",170334784,128-46,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334785,397169,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334786,2929069,МТП-160,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334787,2931189,МТП-160,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334788,1553695,ОБМГн...,,ФАУ &...,ФЕДЕР...,Маном...,ОБМ1-...,1778-63,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/318127
"Манометры, поверенные в ЦАГИ",170334789,128-44,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334790,128-42,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334791,128-48,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334792,128-41,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334793,128-43,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334794,1035518,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334795,1198240,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334796,2400712,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334797,3109641,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334798,1584214,ОБМ1-...,,ФАУ &...,ФЕДЕР...,Маном...,ОБМ1-...,1784-63,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/318216
"Манометры, поверенные в ЦАГИ",170334799,90129,ЭКМ-2...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",170334800,495668,ЭКМ-2...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",170334801,10809,ЭКМ-2...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",170334802,373149,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
